Year,State,Volume of Logs Harvested (m^3)
2012,New South Wales,"5,745"
2013,New South Wales,"5,409"
2014,New South Wales,"5,391"
2015,New South Wales,"5,501"
2016,New South Wales,"5,590"
2017,New South Wales,"5,980"
2018,New South Wales,"6,224"
2019,New South Wales,"6,381"
2020,New South Wales,"6,586"
2021,New South Wales,"6,445"
2012,Victoria,"6,620"
2013,Victoria,"6,681"
2014,Victoria,"7,313"
2015,Victoria,"8,066"
2016,Victoria,"8,165"
2017,Victoria,"9,576"
2018,Victoria,"9,050"
2019,Victoria,"8,859"
2020,Victoria,"7,147"
2021,Victoria,"6,594"
2012,Queensland,"2,406"
2013,Queensland,"1,886"
2014,Queensland,"2,029"
2015,Queensland,"2,076"
2016,Queensland,"2,947"
2017,Queensland,"2,994"
2018,Queensland,"3,153"
2019,Queensland,"2,892"
2020,Queensland,"2,766"
2021,Queensland,"2,536"
2012,South Australia,"2,303"
2013,South Australia,"2,462"
2014,South Australia,"3,079"
2015,South Australia,"3,516"
2016,South Australia,"4,110"
2017,South Australia,"4,397"
2018,South Australia,"4,148"
2019,South Australia,"4,245"
2020,South Australia,"3,541"
2021,South Australia,"2,872"
2012,Western Australia,"3,885"
2013,Western Australia,"4,024"
2014,Western Australia,"4,110"
2015,Western Australia,"4,676"
2016,Western Australia,"4,967"
2017,Western Australia,"4,995"
2018,Western Australia,"4,546"
2019,Western Australia,"4,488"
2020,Western Australia,"3,854"
2021,Western Australia,"3,352"
2012,Tasmania,"2,538"
2013,Tasmania,"2,410"
2014,Tasmania,"3,344"
2015,Tasmania,"3,455"
2016,Tasmania,"4,304"
2017,Tasmania,"5,264"
2018,Tasmania,"5,819"
2019,Tasmania,"5,734"
2020,Tasmania,"5,587"
2021,Tasmania,"5,299"
2012,Northern Territory,0
2013,Northern Territory,0
2014,Northern Territory,0
2015,Northern Territory,0
2016,Northern Territory,0
2017,Northern Territory,0
2018,Northern Territory,0
2019,Northern Territory,0
2020,Northern Territory,0
2021,Northern Territory,0
2012,Aust. Capital Territory,0
2013,Aust. Capital Territory,0
2014,Aust. Capital Territory,0
2015,Aust. Capital Territory,0
2016,Aust. Capital Territory,0
2017,Aust. Capital Territory,0
2018,Aust. Capital Territory,0
2019,Aust. Capital Territory,0
2020,Aust. Capital Territory,0
2021,Aust. Capital Territory,0
